date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-02-15,Maize - Wholesale,MT,cereals and tubers,2.2033,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-03-15,Maize - Wholesale,MT,cereals and tubers,2.272,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-04-15,Maize - Wholesale,MT,cereals and tubers,2.3125,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-05-15,Maize - Wholesale,MT,cereals and tubers,2.322,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-06-15,Maize - Wholesale,MT,cereals and tubers,2.32,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-07-15,Maize - Wholesale,MT,cereals and tubers,2.315,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-08-15,Maize - Wholesale,MT,cereals and tubers,2.274,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-09-15,Maize - Wholesale,MT,cereals and tubers,2.2,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-10-15,Maize - Wholesale,MT,cereals and tubers,1.955,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-11-15,Maize - Wholesale,MT,cereals and tubers,1.922,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-12-15,Maize - Wholesale,MT,cereals and tubers,1.88,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-01-15,Maize - Wholesale,MT,cereals and tubers,1.8738,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-02-15,Maize - Wholesale,MT,cereals and tubers,1.865,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-03-15,Maize - Wholesale,MT,cereals and tubers,1.865,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-04-15,Maize - Wholesale,MT,cereals and tubers,1.82,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-05-15,Maize - Wholesale,MT,cereals and tubers,1.66,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-06-15,Maize - Wholesale,MT,cereals and tubers,1.62,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-07-15,Maize - Wholesale,MT,cereals and tubers,1.6825,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
