S.N.,Product Code,Products
251,06011000,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant"
252,06012000,"Bulb, tubers, tuberous roots, corms, crowns and rhimzomes, in growth or in flower, chicory plants and roots."
253,06021000,Unrooted cuttings and slips
254,06022000,"Edible fruits or nuts trees, shrubs and bushes, grafted or not"
255,06023000,"Rhododendrons and azaleas, grafted or not"
256,06024000,"Roses, grafted or not"
257,06029000,Live plants
258,06031000,"Cut flowers, fresh"
259,06031100,Roses
260,06031200,Carnations
261,06031300,Orchid
262,06031400,Chrysanthemums
263,06031500,Lilies (Lilium spp.)
264,06031900,Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes
265,06039000,"Cut flowers, dried, dyed, bleached, impregnated"
266,06041000,Mosses and lichens(bhdrachha)
267,06042000,"Foliage, branches and other parts of plants,  without flowers or flower buds, and grasses,  mosses  and lichens, being goods of a kind  suitable for bouquets or ornamental purposes,  fresh, dried, dyed, bleached, impregnated or  otherwise prepared, fresh"
268,06049000,"Foliage, branches and other parts of plants,  without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or  otherwise prepared."
269,06049100,"Foliage, branches and other parts of  plants, fresh"
270,06049900,"Foliages, branches and others parts of plant"
271,07011000,Potatoes seed
272,07019000,"Potatoes, fresh or chilled"
273,07020000,"Tomatoes, fresh or chilled"
274,07031000,Onions and shallots
275,07032000,Garlic
276,07039000,Leeks and other alliaccous vegetables
277,07041000,Cauliflowers and headed broccoli
278,07042000,Brussels sprouts
279,07044900,Cabbages
280,07049000,"Cabbage, kohlrabi, kale and similar edible brassicas, fresh or chilled"
281,07051100,Cabbage lettuce (head lettuce)
282,07051900,Lettuce (Lactucasativa)
283,07052100,Witloof chicory (Cichorium intybus var. foliosum)
284,07052900,Lettuce (Lactuca sativa) and chicory
285,07061000,Carrots and turnips
286,07069000,Edible roots
287,07070000,"Cucumbers and gherkins, fresh or chilled"
288,07080000,Multiple-walled insuating unit of glass
289,07081000,Fresh peas
290,07082000,"Beans (Vigna spp., phaseolus spp.)"
291,07089000,"Leguminous vegetable, shelled or unshelled"
292,07091000,Globe artichokes
293,07092000,Asparagus
294,07093000,Aubergines (egg plants)
295,07094000,Celery other than celeriac
296,07095100,Fresh mushrooms
297,07095900,"Mushrooms and truffles, fresh or chilled"
298,07096000,Fruits of genus capsicum or of genus pimenta
299,07097000,"Spinach, New Zealand spinach and orache spinach"
300,07099000,"Vegetables, fresh or chilled"
301,07099100,Globe artichokes
302,07099200,Olives
303,07099300,"Pumpkins, squash and gourds (Cucurbita spp.)"
304,07099900,"Vegetables, fresh or chilled"
305,07101000,Potatoes
306,07102100,Peas (Pisum sativum)
307,07102200,"Beans (Vigna spp., phaseolus spp.)"
308,07102900,Leguminous vegetables
309,07103000,"Spinach, New Zealand spinach and orache spinach (garden spinach)"
310,07104000,Sweet corn
311,07108000,Vegetables
312,07109000,Fresh green vegetable
313,07111000,Onions
314,07112000,Olives
315,07114000,Cucumber
316,07115100,Mushrooms of the genus Agaricus
317,07115900,"Mushrooms and truffles, provisionally preserved"
318,07119000,Vegetables: mixtures of vegetables
319,07122000,"Onions, dried"
320,07123000,Dried mushrooms and truffles
321,07123100,Dried mushrooms truffles
322,07123200,Wood ears (Auricularia spp.)
323,07123300,Jelly fungi (Tremella spp.)
324,07123900,Dried truffles
325,07129000,Dried vegetables
326,07129011,"Dry Garlic, neither crushed nor ground"
327,07129012,"Dry Garlic, crushed or ground"
328,07129090,Dry Garilic
329,07131000,Dried peas
330,07132000,Chickpeas
331,07133100,"Bean of the species vigna mungo, Hepper or vigna radiata Wilczek"
332,07133200,Small red (Adzuki) beans (phaseolus or Vigna angularis)
333,07133300,"Kidney beans, including white pea beans  (Phaseolus vulgaris)"
334,07133400,Bambara beans (Vigna subterranea or Voandzeia subterranea)
335,07133500,Cow peas (Vigna unguiculata)
336,07133900,"Beans (Vigna spp., phaseolus spp.), shelled, whether or not skinned or split"
337,07134000,Lentils
338,07134010,"Red lentils, unskinned, unsplit"
339,07134090,Red lentils
340,07135000,Broad beans and horse beans
341,07136000,Pigeon peas (Cajanus cajan)
342,07139000,Dried leguminous vegetables
343,07141000,Manioc (Cassava)
344,07142000,Sweet Potatoes
345,07143000,Yams (Dioscorea spp.)
346,07144000,Taro (Colocasia spp)
347,07149000,"Arrowroot, salep, Jerusalem artichokes"
348,08011100,Desiccated coconut
349,08011200,"Coconuts, in the inner shell (endocarp)"
350,08011900,Cocunuts
351,08012100,Brazil nuts in shell
352,08012200,Shelled brazil nuts
353,08013100,Cashew nuts in shell
354,08013200,Cashew nuts shelled
355,08021100,"Almonds, in shell"
356,08021200,"Almonds, shelled"
357,08022100,"Hazelnuts or filberts, In shell"
358,08022200,Hazelnuts or filberts
359,08023100,Walnuts in shell
360,08023200,"Wallnut, shelled"
361,08024000,Chestnuts
362,08024100,"Chestnuts, in shell"
363,08024200,"Chestnuts, shelled"
364,08025000,Pistachios
365,08025100,"Pistachios, in shell"
366,08025200,"Pistachios, shelled"
367,08026000,Macadamia nuts
368,08026100,Macadamia nuts in shell
369,08028000,Areca nuts
370,08029000,Betelnuts
371,08030000,Bananas
372,08031000,Plantains
373,08039000,"Bananas, fresh or dried"
374,08041000,Dates
375,08042000,Figs
376,08042010,Fresh Figs
377,08042090,Figs
378,08043000,Pineapples
379,08044000,Avocados
380,08045000,Mangoes
381,08051000,Oranges
382,08052000,Mandarins (including tangerines and satsumas)
383,08054000,Grapefruit
384,08055000,"Lemons (Citrus limon, citrus limonum)   and limes (Citrus aurantifolia, Citrus latifolia )"
385,08059000,Citrus fruits
386,08061000,Fresh Grapes
387,08062000,"Grapes, dried"
388,08071100,Water melons
389,08071900,Melons
390,08072000,Papaws (papayas)
391,08081000,"Apples, fresh"
392,08082000,Pears and quinces
393,08083000,Pears
394,08084000,Quinces
395,08085100,Orange
396,08091000,Fresh Apricots
397,08092000,"Cherries, fresh"
398,08092100,Sour cherries (Prunus cerasus)
399,08092900,Cherries
400,08093000,"Peaches, including nectarines"
401,08094000,Plums and sloes
402,08101000,Strawberries
403,08102000,"Raspberries, blackberries, mulberries and loganberries"
404,08103000,"Black, white or red currants and gooseberries"
405,08104000,"Cranberries, bilberries and other fruits of the genus Vaccinium"
406,08105000,Kiwifruit
407,08106000,Durians
408,08107000,Persimmons
409,08109000,Fresh fruit
410,08111000,"Strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter"
411,08112000,"Rasberries, blackbarries, mulberries, loganbarries, black, white or red currants and gooseberries"
412,08119000,"Fruit and nuts, uncooked or cooked by  steaming or boiling in water, frozen,"
413,08121000,"Cherries, provisionally preserved"
414,08129000,"Fruit and nuts, provisionally preserved but unsuitable in that state for immediate consumption."
415,08131000,Dried Apricots
416,08132000,Prunes
417,08133000,Dried apple
418,08134000,Dry fruits
419,08135000,Mixtures of nuts or dried fruits
420,08140000,"Peels of citrus fruit or melon, fresh, frozen"
421,09011100,"Coffee, neither roasted nor decaffeinated"
422,09011200,"Coffee, not roasted, decaffeinated"
423,09012100,"Coffee, roasted, not decaffeinated"
424,09012200,"Coffee, roasted and decaffeinated"
425,09013000,Coffee husk and skin
426,09019000,Coffee
427,09021000,Green tea not fermented in immediate packing of a content not exceeding 3kg.
428,09022000,Green tea not fermented
429,09023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg."
430,09024000,Black tea fermented
431,09030000,Mate
432,09041100,"Pepper, neither crushed nor ground"
433,09041200,"Pepper, crushed or ground"
434,09042000,"Fruits of the genus capsicum or of the genus pimenta, dried or crushed or ground"
435,09042100,"Fruits of the genus Capsicum or of the genus Pimenta, Dried, neither,crushed or ground"
436,09042200,"Fruits of the genus Capsicum or of the genus Pimenta, Dried, crushed or ground"
437,09050000,Vanilla
438,09051000,"Vanilla, Neither crushed nor ground"
439,09052000,"Vanilla, crushed or ground"
440,09061000,"Cinnamom, neither crushed nor ground"
441,09061100,Cinnamon (Cunnamomum zeylanicum Blume)
442,09061900,Cinnamon
443,09062000,"Cinnamom, crushed or ground"
444,09070000,Cloves
445,09071000,"Cloves, neither crushed nor ground"
446,09072000,"Cloves, crushed or ground"
447,09081000,Nutmeg
448,09081100,"Nutmeg, neither crushed nor ground"
449,09081200,"Nutmeg, crushed or ground"
450,09082000,Mace
451,09082100,"Fruits of the genus Capsicum or of the genus Pimenta, dried, neither, crushed or ground"
452,09082200,"Fruits of the genus Capsicum or of the genus Pimenta, crushed or ground"
453,09083010,Cardamom
454,09083090,"Cardamom, Small, Sukumel"
455,09083110,"Big Cardamon (Alaichi), neither crushed nor ground"
456,09083120,Small Cardamon (Sukumel)
457,09083210,"Big Cardamon (Alaichi), crushed or ground"
458,09083220,Small Cardamon (Sukumel)
459,09091000,Anise seeds
460,09092000,Seeds of coriander
461,09092100,"Seeds of coriander, neither crushed nor ground"
462,09092200,"Seeds of coriander, crushed or ground"
463,09093000,Cumin seeds
464,09093100,"Seeds of cumin, neither crushed nor ground"
465,09093200,"Seeds of cumin, crushed or ground"
466,09094000,Seeds of caraway
467,09095000,"Seed of fennel, juniper"
468,09096100,"Seeds  of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground"
469,09096200,"Seeds  of anise, badian, caraway or fennel; juniper berries, crushed or ground"
470,09101000,Ginger
471,09101010,"Ginger, raw"
472,09101090,Dry Ginger
473,09101110,"Ginger, fresh"
474,09101190,Ginger
475,09101200,"Ginger, crushed or ground"
476,09102000,Saffron
477,09103000,Turmeric
478,09103010,"Turmeric (curcuma), fresh"
479,09103020,"Turmeric (curcuma), dust or Powder"
480,09103090,Turmeric (curcuma)
481,09104000,Thime: bay leaves
482,09105000,Curry spices
483,09109100,Fenugreek
484,09109900,Spices
485,09109910,Fenugreek (Methi)
486,09109990,Spices
487,10011000,Durum wheat
488,10011100,"Durum wheat, seed"
489,10011900,Durum wheat
490,10019000,Wheat and meslin
491,10019100,"Wheat and meslin, seed"
492,10019900,Wheat and meslin
493,10020000,Rye
494,10021000,Rye seed
495,10029000,Rye
496,10030000,Barley
497,10031000,Barley seed
498,10039000,Barley
499,10040000,Oats
500,10041000,"Oats, seed"
501,10049000,Oats
502,10051000,Maize seeds
503,10059000,Maize corn
504,10061000,Rice in the husk
505,10062000,Husked (brown) rice
506,10063000,"Semi milled or wholly milled rice, whether or not polished or glazed"
507,10064000,Broken rice
508,10070000,Grain sorghum
509,10071000,"Grain sorghum, seed"
510,10079000,Grain sorghum
511,10081000,Buckwheat
512,10082000,Millet
513,10082100,"Millet, seed"
514,10082900,Millet
515,10083000,Canary seed
516,10085000,Quinoa (Chenopodium quinoa)
517,10086000,Triticale
518,10089000,Cereals
519,11010000,Wheat flour
520,11021000,Rye flour
521,11022000,Maize corn flour
522,11023000,Rice flour
523,11029000,Cereal Flours
524,11031100,Groats and meals of wheat
525,11031300,Groats and meals of maize
526,11031900,Groats and meal
527,11032000,Cereal pellets
528,11041200,Rolled or flaked grains of oats
529,11041900,Rolled or flacked cereals
530,11042200,Worked grains of oats
531,11042300,"Hulled, pearled, sliced or kibbled of maize corn"
532,11042900,Worked grains
533,11043000,"Germ of cereals, whole, rolled, flaked  or ground"
534,11051000,"Flour, meal and powdeer of potatoes"
535,11052000,"Flakes, granules and pellets of potatoes"
536,11061000,"Flour, meal and powder of dried leguminous vegetables"
537,11062000,"Flour, meal and powder of the dried leguminous  vegetables"
538,11063000,"Flour, meal and powder of edible fruit and nut"
539,11071000,"Malt, not roasted"
540,11072000,"Malt, roasted"
541,11081100,Wheat starch
542,11081200,Maize corn starch
543,11081300,Potato starch
544,11081400,Manioc(cassava) starch
545,11081900,Starch
546,11082000,Inulin
547,11090000,Wheat gluten
548,12010000,"Soya beans, whether or not broken"
549,12011000,"Soya beans, seed"
550,12019000,"Soya beans, whether or not broken"
551,12021000,Ground-nuts in shell
552,12022000,"Ground-nuts, shelled, whether or not broken"
553,12023000,"Ground-nuts, seed"
554,12024100,"Ground-nuts, in shell"
555,12024200,"Ground-nuts, shelled"
556,12030000,Copra
557,12040000,"Linseed, whether or not broken"
558,12050000,Rape seeds
559,12051000,Low erucic acid rape or colza seeds
560,12059000,"Rape or colza seeds, whether  or not  broken"
561,12060000,Sunflower seed
562,12071000,Palm nuts and kernels
563,12072000,Cotton seeds
564,12072100,Cotton seeds
565,12072900,Cotton seeds
566,12073000,Castor oil seed
567,12074000,Sesamum seeds
568,12075000,Mustard seeds
569,12076000,Safflower seeds
570,12077000,Melon seeds
571,12079100,Poppy seed
572,12079900,Oil seeds
573,12081000,Flours of  soya beans
574,12089000,Flours and meals of oil seeds or  oleaginous fruits
575,12091000,Sugar beet seed
576,12091900,Beet seeds
577,12092100,Lucerne seeds
578,12092200,Clover seeds
579,12092300,Fescue seeds
580,12092400,Kentucky blue grass seed
581,12092500,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed"
582,12092900,Seeds of forage plants
583,12093000,Seeds of herbaceous plants cultivated principally for their flowers
584,12099100,Vegetable seeds
585,12099900,"Seeds,fruit, and spores, of a kind used for sowing"
586,12101000,"Hop cones, neither ground nor powdered nor in the form of pellets"
587,12102000,"Hop cones,  ground or powdered or in the form of pellets"
588,12111000,Liquorice roots
589,12112000,Gineseng roots
590,12113000,Coca leaf
591,12114000,Poppy straw
592,12119000,"Plants and parts of plants ( including seeds and fruits) of a kind used primarily in perfumery, in pharmacy or for insecticidal or similar purposes"
593,12119010,Yarchagumba
594,12119090,"Plants and parts of plants ( including seeds and fruits) of a kind used primarily in perfumery, in pharmacy or for insecticidal or similar purposes"
595,12122000,Seaweeds and other algae
