iso2c,country,year,NY.GDP.PCAP.CD,NY.GDP.MKTP.CD
CN,China,1999,873.28706172579,1093997267271.06
CN,China,2000,959.372483639691,1211346869605.24
CN,China,2001,1053.10824300452,1339395718865.3
CN,China,2002,1148.5082904417,1470550015081.55
CN,China,2003,1288.64325183381,1660287965662.68
CN,China,2004,1508.66809788266,1955347004963.27
CN,China,2005,1753.41782925823,2285965892360.54
CN,China,2006,2099.22943460447,2752131773355.16
CN,China,2007,2693.96982683485,3550342425238.25
CN,China,2008,3468.30446324747,4594306848763.08
CN,China,2009,3832.23595156727,5101702432883.45
CN,China,2010,4550.45359583857,6087164527421.24
CN,China,2011,5618.13249134962,7551500425597.77
CN,China,2012,6316.91886335683,8532230724141.76
CN,China,2013,7050.64591988963,9570405758739.79
CN,China,2014,7651.36604428568,10438529153237.6
CN,China,2015,8033.38804310679,11015542352468.9
CN,China,2016,8078.79047437238,11137945669350.6
CN,China,2017,8759.04157775098,12143491448186.1
CN,China,2018,9770.84708783314,13608151864637.9
IN,India,1960,82.188603975999,37029884761.6365
IN,India,1961,85.3543032175551,39232436722.9835
IN,India,1962,89.8817588373612,42161482867.6871
IN,India,1963,101.126430601324,48421924617.5489
IN,India,1964,115.537499785044,56480291292.4818
IN,India,1965,119.318920067195,59554856000.0288
IN,India,1966,89.9973081168211,45865463131.5377
IN,India,1967,96.3391389544662,50134943403.2483
IN,India,1968,99.8759669912856,53085457141.236
IN,India,1969,107.622320404387,58447996415.5959
IN,India,1970,112.434496181046,62422484548.3796
IN,India,1971,118.603244940468,67350989632.712
IN,India,1972,122.981866841399,71463195540.6261
IN,India,1973,143.778691537372,85515271632.0276
IN,India,1974,163.478115069771,99525901497.5755
IN,India,1975,158.03617554632,98472798813.7125
IN,India,1976,161.092095586867,102717166924.066
IN,India,1977,186.213505781639,121487325381.668
IN,India,1978,205.693391008767,137300298593.834
IN,India,1979,224.00102220048,152991657454.179
IN,India,1980,266.577854497996,186325349548.793
IN,India,1981,270.470608911158,193490614662.615
IN,India,1982,274.111337981466,200715150164.325
IN,India,1983,291.238117107071,218262278633.435
IN,India,1984,276.667965264212,212158239241.317
IN,India,1985,296.435158645149,232511883406.39
IN,India,1986,310.4659425158,248986000002.799
IN,India,1987,340.416839758983,279033590769.841
IN,India,1988,354.149260092392,296589001909.868
IN,India,1989,346.112895554613,296042362070.853
IN,India,1990,367.556618107371,320979034101.132
IN,India,1991,303.055612595785,270105348343.706
IN,India,1992,316.953935477762,288208437278.741
IN,India,1993,301.159011426453,279296029670.677
IN,India,1994,346.102958604934,327275591371.343
IN,India,1995,373.766488952187,360281961338.465
IN,India,1996,399.950086335329,392897063750.676
IN,India,1997,415.493806924844,415867763815.89
IN,India,1998,413.298944134548,421351487589.808
IN,India,1999,441.998770170626,458820428317.587
IN,India,2000,443.314204000774,468394948471.616
IN,India,2001,451.573011881715,485441026156.549
IN,India,2002,470.986797220205,514937961192.908
IN,India,2003,546.726627562827,607699299977.15
IN,India,2004,627.774262306769,709148531774.823
IN,India,2005,714.861080273433,820381672147.736
IN,India,2006,806.753283702503,940259892374.501
IN,India,2007,1028.3347586787,1216735426855.47
IN,India,2008,998.522269363666,1198895498504.14
IN,India,2009,1101.96091934604,1341886699393.18
IN,India,2010,1357.56370057352,1675615312693.42
IN,India,2011,1458.10314488683,1823049927771.46
IN,India,2012,1443.87952939042,1827637859135.7
IN,India,2013,1449.6059123387,1856722121394.53
IN,India,2014,1573.88149211052,2039127446298.55
IN,India,2015,1605.60543109026,2103587813812.75
IN,India,2016,1729.26802051544,2290432075123.75
IN,India,2017,1981.49904456819,2652551202555.27
IN,India,2018,2015.59048548675,2726322616821.31
JP,Japan,1960,478.995340162869,44307342950.4
JP,Japan,1961,563.586759838827,53508617739.3778
JP,Japan,1962,633.640315173776,60723018683.7333
JP,Japan,1963,717.866915230894,69498131797.3333
JP,Japan,1964,835.657252484116,81749006381.5111
JP,Japan,1965,919.776688184802,90950278257.7778
JP,Japan,1966,1058.50356090902,105628070343.111
JP,Japan,1967,1228.9092104006,123781880217.6
JP,Japan,1968,1450.61965234374,146601072685.511
JP,Japan,1969,1669.09819990781,172204199480.889
JP,Japan,1970,2037.55990148865,212609187920.833
JP,Japan,1971,2272.07780220778,240151807459.955
JP,Japan,1972,2967.04199623728,318031297492.682
JP,Japan,1973,3997.84112039422,432082670451.087
JP,Japan,1974,4353.82435517488,479625998614.775
JP,Japan,1975,4659.12011498931,521541905671.903
JP,Japan,1976,5197.80669676619,586161859001.02
JP,Japan,1977,6335.78762668458,721411786537.187
JP,Japan,1978,8821.84349179091,1013612173519.79
JP,Japan,1979,9105.13609673044,1055012119528.16
JP,Japan,1980,9465.3797140302,1105385973763.87
JP,Japan,1981,10361.3230580189,1218988935129.81
JP,Japan,1982,9578.11380327871,1134518001884.56
JP,Japan,1983,10425.4068209429,1243323592058.83
JP,Japan,1984,10984.8658284904,1318381627003.76
JP,Japan,1985,11584.6493269017,1398892744820.69
JP,Japan,1986,17111.8537325384,2078953333673.55
JP,Japan,1987,20745.2520919399,2532808573157.03
JP,Japan,1988,25051.8543154389,3071683013178.91
JP,Japan,1989,24813.2993783357,3054914166263.18
JP,Japan,1990,25359.34702031,3132817652848.04
JP,Japan,1991,28925.0415756881,3584420077100.84
JP,Japan,1992,31464.549046228,3908809463463.86
JP,Japan,1993,35765.9140886748,4454143876947.21
JP,Japan,1994,39268.5668686204,4907039384469.68
JP,Japan,1995,43440.3678678967,5449116304981.1
JP,Japan,1996,38436.9263119118,4833712542207.1
JP,Japan,1997,35021.7190917159,4414732843544.43
JP,Japan,1998,31902.7670955137,4032509760872.94
JP,Japan,1999,36026.5560750168,4562078822335.45
JP,Japan,2000,38532.040875293504,4887519660744.86
JP,Japan,2001,33846.4656414342,4303544259842.72
JP,Japan,2002,32289.3505360726,4115116279069.77
JP,Japan,2003,34808.3909176613,4445658071221.86
JP,Japan,2004,37688.7223359406,4815148854362.11
JP,Japan,2005,37217.648727917,4755410630912.14
JP,Japan,2006,35433.988963743,4530377224970.4
JP,Japan,2007,35275.2284312667,4515264514430.57
JP,Japan,2008,39339.2975731826,5037908465114.48
JP,Japan,2009,40855.1756354596,5231382674593.7
JP,Japan,2010,44507.6763859172,5700098114744.41
JP,Japan,2011,48167.9972684965,6157459594823.72
JP,Japan,2012,48603.4766497749,6203213121334.12
JP,Japan,2013,40454.4474578903,5155717056270.83
JP,Japan,2014,38109.4121125573,4850413536037.84
JP,Japan,2015,34524.4698609337,4389475622588.97
JP,Japan,2016,38794.3309405515,4926667087367.51
JP,Japan,2017,38331.9793978104,4859950558538.97
JP,Japan,2018,39286.7376488008,4970915556638.88
NP,Nepal,1960,50.3049875027919,508334413.965087
NP,Nepal,1961,51.8112285436763,531959561.62226
NP,Nepal,1962,55.0256994601707,574091101.194382
NP,Nepal,1963,46.8614488384859,496947904.443033
NP,Nepal,1964,46.0033654877321,496098775.30864203
NP,Nepal,1965,67.0074709698086,735267082.294264
NP,Nepal,1966,81.164429631343907,906811943.824649
NP,Nepal,1967,73.9678877627124,841974025.462659
NP,Nepal,1968,66.5488999419359,772228643.405428
NP,Nepal,1969,66.638362678968,788641965.432099
NP,Nepal,1970,71.7186030144516,865975308.641975
NP,Nepal,1971,71.6298897227323,882765471.604938
NP,Nepal,1972,81.3865859346929,1024098804.93827
NP,Nepal,1973,75.6369548539269,972101724.995368
NP,Nepal,1974,92.7522223287054,1217953546.97604
NP,Nepal,1975,117.417729309036,1575789254.46938
NP,Nepal,1976,105.892784722432,1452792989.10865
NP,Nepal,1977,98.5420003912026,1382400000
NP,Nepal,1978,111.806707280971,1604162497.45945
NP,Nepal,1979,126.133335409154,1851250008.33333
NP,Nepal,1980,129.586074169654,1945916583.33333
NP,Nepal,1981,148.080253673998,2275583316.66667
NP,Nepal,1982,152.289669755426,2395429852.43076
NP,Nepal,1983,151.992610182449,2447174803.37791
NP,Nepal,1984,156.650682285876,2581207387.79709
NP,Nepal,1985,155.407864460647,2619913955.51556
NP,Nepal,1986,165.361867558457,2850784523.37711
NP,Nepal,1987,167.799982645133,2957255379.54315
NP,Nepal,1988,193.499669428707,3487009748.35638
NP,Nepal,1989,191.120780796517,3525228153.17361
NP,Nepal,1990,191.878904234015,3627562402.66027
NP,Nepal,1991,202.080609959459,3921476084.89072
NP,Nepal,1992,170.586668349779,3401211581.29176
NP,Nepal,1993,178.625970342407,3660041666.66667
NP,Nepal,1994,193.279505015758,4066775510.20408
NP,Nepal,1995,203.980809002282,4401104417.67068
NP,Nepal,1996,204.685755187214,4521580381.47139
NP,Nepal,1997,217.78795301415,4918691916.53516
NP,Nepal,1998,210.611487810509,4856255044.39064
NP,Nepal,1999,214.106766990624,5033642384.10596
NP,Nepal,2000,229.4902871214,5494252207.90502
NP,Nepal,2001,246.725628999885,6007055042.17687
NP,Nepal,2002,244.720823729325,6050875806.66403
NP,Nepal,2003,252.40243228149,6330473096.54071
NP,Nepal,2004,286.157593788411,7273938314.71988
NP,Nepal,2005,315.805629997361,8130258041.46706
NP,Nepal,2006,346.945251393727,9043715355.8881
NP,Nepal,2007,391.380131359361,10325618017.379
NP,Nepal,2008,470.455547251206,12545438605.3959
NP,Nepal,2009,478.173181617538,12854985464.0764
NP,Nepal,2010,592.401097450929,16002656434.4746
NP,Nepal,2011,699.429337677581,18913574370.76
NP,Nepal,2012,698.466479416086,18851513891.066
NP,Nepal,2013,715.923743046061,19271168018.482
NP,Nepal,2014,743.413381296219,20002968837.9471
NP,Nepal,2015,792.552890593381,21410840908.5198
NP,Nepal,2016,777.147595512165,21185922407.5922
NP,Nepal,2017,900.57390358461,24880266905.4961
NP,Nepal,2018,1025.79835586617,28812491891.5812
PK,Pakistan,1960,82.3997298183606,3707055900.88198
PK,Pakistan,1961,88.0186442789439,4054599181.01638
PK,Pakistan,1962,89.6863605547615,4233095590.0882
PK,Pakistan,1963,93.8372054564046,4540529105.41789
PK,Pakistan,1964,103.378066844859,5130407727.84544
PK,Pakistan,1965,115.572390609762,5884712095.75809
PK,Pakistan,1966,123.738755552242,6466610751.78496
PK,Pakistan,1967,137.987382918961,7403821902.56195
PK,Pakistan,1968,146.818411880425,8090088555.2289
PK,Pakistan,1969,152.530218260423,8632927257.45485
PK,Pakistan,1970,172.458437991757,10027088849.223
PK,Pakistan,1971,177.486403369541,10602058189.8362
PK,Pakistan,1972,151.658657841719,9309109764.07784
PK,Pakistan,1973,100.236825199055,6324884129.38617
PK,Pakistan,1974,135.165172627689,8773030424.24242
PK,Pakistan,1975,169.717603569293,11340000242.4242
PK,Pakistan,1976,193.776648293149,13338484979.798
PK,Pakistan,1977,213.16868599674,15126059646.4646
PK,Pakistan,1978,243.453117140845,17820100626.2626
PK,Pakistan,1979,260.821655819714,19707979303.0303
PK,Pakistan,1980,303.502609299738,23689696767.6768
PK,Pakistan,1981,348.295062564673,28100605515.1515
PK,Pakistan,1982,368.277378659201,30725972786.7299
PK,Pakistan,1983,332.521058421293,28691890433.0709
PK,Pakistan,1984,349.182048985303,31151824658.6524
PK,Pakistan,1985,337.828511042825,31144920554.0897
PK,Pakistan,1986,335.020158759825,31899071053.9368
PK,Pakistan,1987,339.332267583955,33351528115.351
PK,Pakistan,1988,379.454506172558,38472741737.3968
PK,Pakistan,1989,384.364293271669,40171019643.3511
PK,Pakistan,1990,371.678566172355,40010424928.715
PK,Pakistan,1991,410.295319109874,45451960731.7204
PK,Pakistan,1992,426.957212702535,48635176852.7673
PK,Pakistan,1993,439.65976882502,51478304859.5879
PK,Pakistan,1994,431.153127591837,51894781281.8919
PK,Pakistan,1995,489.88181401706,60636022422.6176
PK,Pakistan,1996,497.216143153388,63320122807.1223
PK,Pakistan,1997,476.38123120309,62433300338.0941
PK,Pakistan,1998,461.216736136457,62191955814.3478
PK,Pakistan,1999,454.276125443022,62973855718.8874
PK,Pakistan,2000,519.534326794845,73952374969.7995
PK,Pakistan,2001,495.345461593235,72309738921.3329
PK,Pakistan,2002,483.496927083321,72306820396.2325
PK,Pakistan,2003,543.751825839709,83244801092.7096
PK,Pakistan,2004,625.397859721213,97977766197.6724
PK,Pakistan,2005,683.090235091834,109502102510.883
PK,Pakistan,2006,836.86052111605,137264061106.043
PK,Pakistan,2007,908.095090591223,152385716311.916
PK,Pakistan,2008,990.846599619906,170077814106.305
PK,Pakistan,2009,957.995680750104,168152775283.032
PK,Pakistan,2010,988.754128341182,177406854514.885
PK,Pakistan,2011,1164.97612914872,213587413183.996
PK,Pakistan,2012,1198.10900052752,224383620829.57
PK,Pakistan,2013,1208.90431029644,231218567178.979
PK,Pakistan,2014,1251.16410422834,244360888750.807
PK,Pakistan,2015,1356.66773135083,270556126820.064
PK,Pakistan,2016,1368.45432627629,278654637737.69
PK,Pakistan,2017,1466.84309577722,304951818494.066
PK,Pakistan,2018,1472.89313366943,312570060548.453
US,United States,1960,3007.12344537862,543300000000
US,United States,1961,3066.56286916615,563300000000
US,United States,1962,3243.84307754988,605100000000
US,United States,1963,3374.51517105082,638600000000
US,United States,1964,3573.94118474743,685800000000
US,United States,1965,3827.52710972039,743700000000
US,United States,1966,4146.31664631665,815000000000
US,United States,1967,4336.42658722171,861700000000
US,United States,1968,4695.92339043178,942500000000
US,United States,1969,5032.14474262003,1019900000000
US,United States,1970,5234.2966662115,1073303000000
US,United States,1971,5609.38259952519,1164850000000
US,United States,1972,6094.01798986165,1279110000000
US,United States,1973,6726.35895596695,1425376000000
US,United States,1974,7225.69135952566,1545243000000
US,United States,1975,7801.45666356443,1684904000000
US,United States,1976,8592.25353727612,1873412000000
US,United States,1977,9452.57651914511,2081826000000
US,United States,1978,10564.9482220275,2351599000000
US,United States,1979,11674.1863100131,2627334000000
US,United States,1980,12574.7915062163,2857307000000
US,United States,1981,13976.1097504641,3207042000000
US,United States,1982,14433.787727053,3343789000000
US,United States,1983,15543.8937174925,3634038000000
US,United States,1984,17121.2254849995,4037613000000
US,United States,1985,18236.8277265009,4338979000000
US,United States,1986,19071.2271949295,4579631000000
US,United States,1987,20038.9410992658,4855215000000
US,United States,1988,21417.0119305191,5236438000000
US,United States,1989,22857.1544330056,5641580000000
US,United States,1990,23888.6000088133,5963144000000
US,United States,1991,24342.2589048189,6158129000000
US,United States,1992,25418.9907763319,6520327000000
US,United States,1993,26387.2937338171,6858559000000
US,United States,1994,27694.853416234,7287236000000
US,United States,1995,28690.8757013347,7639749000000
US,United States,1996,29967.7127181749,8073122000000
US,United States,1997,31459.139002483,8577554463000
US,United States,1998,32853.6769849268,9062818211000
US,United States,1999,34513.5615037271,9630664202000
US,United States,2000,36334.9087770589,10252345464000
US,United States,2001,37133.2428088526,10581821399000
US,United States,2002,38023.1611144021,10936419054000
US,United States,2003,39496.4858751381,11458243878000
US,United States,2004,41712.8010675545,12213729147000
US,United States,2005,44114.7477776705,13036640229000
US,United States,2006,46298.7314440927,13814611414000
US,United States,2007,47975.9676758856,14451858650000
US,United States,2008,48382.5584490552,14712844084000
US,United States,2009,47099.9804711343,14448933025000
US,United States,2010,48466.8233750801,14992052727000
US,United States,2011,49883.1139837344,15542581104000
US,United States,2012,51603.4972614412,16197007349000
US,United States,2013,53106.9097703155,16784849190000
US,United States,2014,55032.9579979166,17521746534000
US,United States,2015,56803.4724334919,18219297584000
US,United States,2016,57904.2019610641,18707188235000
US,United States,2017,59927.9298339535,19485393853000
US,United States,2018,62641.0145699281,20494100000000
