#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,
2009-12-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-01-15,Rice - Retail,KG,cereals and tubers,32,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-02-15,Rice - Retail,KG,cereals and tubers,32,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-03-15,Rice - Retail,KG,cereals and tubers,32,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-04-15,Rice - Retail,KG,cereals and tubers,32,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-05-15,Rice - Retail,KG,cereals and tubers,29,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-06-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-07-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-08-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-09-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-10-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-11-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2010-12-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-01-15,Rice - Retail,KG,cereals and tubers,32,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-02-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-03-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-04-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-05-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-06-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-07-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-08-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-09-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-10-15,Rice - Retail,KG,cereals and tubers,34,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-11-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2011-12-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-01-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-02-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-03-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-04-15,Rice - Retail,KG,cereals and tubers,35,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-05-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-06-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-07-15,Rice - Retail,KG,cereals and tubers,37,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-08-15,Rice - Retail,KG,cereals and tubers,37,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-09-15,Rice - Retail,KG,cereals and tubers,41,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-10-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-11-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2012-12-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-01-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-02-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-03-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-04-15,Rice - Retail,KG,cereals and tubers,36,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-05-15,Rice - Retail,KG,cereals and tubers,38,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-06-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-07-15,Rice - Retail,KG,cereals and tubers,38,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-08-15,Rice - Retail,KG,cereals and tubers,38,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-09-15,Rice - Retail,KG,cereals and tubers,38,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-10-15,Rice - Retail,KG,cereals and tubers,40,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-11-15,Rice - Retail,KG,cereals and tubers,42,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2013-12-15,Rice - Retail,KG,cereals and tubers,41,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-02-15,Rice - Retail,KG,cereals and tubers,41,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-03-15,Rice - Retail,KG,cereals and tubers,42,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-04-15,Rice - Retail,KG,cereals and tubers,41,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-05-15,Rice - Retail,KG,cereals and tubers,42,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-06-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-07-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-08-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-09-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-10-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-11-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2014-12-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-01-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-02-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-03-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-04-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-05-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-06-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-07-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-08-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-09-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-10-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-11-15,Rice - Retail,KG,cereals and tubers,45,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2015-12-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-01-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-02-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-03-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-04-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-05-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-06-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-07-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-08-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-09-15,Rice - Retail,KG,cereals and tubers,52,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-10-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-11-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2016-12-15,Rice - Retail,KG,cereals and tubers,49,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2017-01-15,Rice - Retail,KG,cereals and tubers,49,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2017-02-15,Rice - Retail,KG,cereals and tubers,49,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2017-03-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2017-04-15,Rice - Retail,KG,cereals and tubers,48,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-04-15,Rice - Retail,KG,cereals and tubers,48,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-05-15,Rice - Retail,KG,cereals and tubers,50,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-06-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-07-15,Rice - Retail,KG,cereals and tubers,56,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-08-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-09-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-10-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-11-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2018-12-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-01-15,Rice - Retail,KG,cereals and tubers,55,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-02-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-03-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-04-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-05-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-06-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
