Price of Rice - Retail in INR per KG in , India

Date,Price
October-2004,11.11111111111111
November-2004,11.13888888888889
December-2004,11.11111111111111
January-2005,11
February-2005,11.055555555555555
March-2005,11.072222222222223
April-2005,11.127777777777778
May-2005,11.113888888888889
June-2005,11.302777777777777
July-2005,11.286111111111111
August-2005,11.427777777777777
September-2005,11.55
October-2005,11.411111111111111
November-2005,11.494444444444445
December-2005,11.416666666666666
January-2006,11.422222222222222
February-2006,11.458333333333334
March-2006,11.597222222222221
April-2006,11.625
May-2006,11.527777777777779
June-2006,11.583333333333334
July-2006,11.655555555555557
August-2006,11.86111111111111
September-2006,12.01388888888889
October-2006,12.016666666666667
November-2006,12.222222222222221
December-2006,12.294444444444444
January-2007,12.322222222222223
February-2007,12.266666666666667
March-2007,12.319444444444445
April-2007,12.558333333333334
May-2007,12.61111111111111
June-2007,12.867647058823529
July-2007,12.875
August-2007,13.11111111111111
September-2007,13.36111111111111
October-2007,13.402777777777779
November-2007,13.86111111111111
December-2007,14.35277777777778
January-2008,14.575000000000001
February-2008,14.769444444444446
March-2008,15.11111111111111
April-2008,15.48611111111111
May-2008,15.674999999999999
June-2008,16.291666666666668
July-2008,16.430555555555557
August-2008,16.41111111111111
September-2008,16.466666666666665
October-2008,16.549999999999997
November-2008,16.716666666666665
December-2008,16.716666666666665
January-2009,17.049999999999997
February-2009,16.994444444444444
March-2009,16.966666666666665
April-2009,17.055555555555557
May-2009,16.86111111111111
June-2009,16.90909090909091
July-2009,16.976190476190474
August-2009,17.30952380952381
September-2009,17.452380952380953
October-2009,17.904761904761905
November-2009,18.11904761904762
December-2009,18.30952380952381
January-2010,18.678571428571427
February-2010,18.785714285714285
March-2010,18.210526315789473
April-2010,18.858823529411765
May-2010,19.094117647058823
June-2010,19.157894736842106
July-2010,19.45
August-2010,19.5
September-2010,19.694444444444443
October-2010,19.842105263157894
November-2010,19.92105263157895
December-2010,19.475
January-2011,19.785714285714285
February-2011,19.72093023255814
March-2011,19.75
April-2011,19.956976744186047
May-2011,19.73260869565218
June-2011,20.010851063829783
July-2011,19.98
August-2011,20.2
September-2011,20.14340425531915
October-2011,20.19375
November-2011,20.514375
December-2011,20.46217391304348
January-2012,20.03717391304348
February-2012,20.83304347826087
March-2012,20.900652173913045
April-2012,20.98375
May-2012,21.257499999999997
June-2012,21.813000000000002
July-2012,22.68
August-2012,23.311568627450974
September-2012,23.5138
October-2012,23.925490196078435
November-2012,24.18843137254902
December-2012,24.429800000000004
January-2013,24.816666666666663
February-2013,25.219803921568634
March-2013,25.2744
April-2013,25.267200000000003
May-2013,25.6686
June-2013,26.157058823529415
July-2013,26.218367346938773
August-2013,27.01440000000001
September-2013,27.30244897959184
October-2013,27.587843137254907
November-2013,27.89480769230769
December-2013,28.051153846153856
January-2014,27.716153846153837
February-2014,27.997843137254904
March-2014,27.900384615384624
April-2014,27.849019607843136
May-2014,28.102941176470587
June-2014,28.296078431372546
July-2014,28.487199999999994
August-2014,28.577600000000004
September-2014,28.5178
October-2014,28.21551020408163
November-2014,27.819000000000006
December-2014,27.618399999999998
January-2015,27.437192982456132
February-2015,27.362105263157897
March-2015,27.151578947368424
April-2015,27.310344827586206
May-2015,27.28775862068966
June-2015,27.483103448275866
July-2015,27.232241379310345
August-2015,27.095344827586207
September-2015,27.233448275862067
October-2015,27.22526315789474
November-2015,27.232280701754387
December-2015,27.41877192982456
January-2016,27.24724137931034
February-2016,26.92086206896552
March-2016,26.855862068965514
April-2016,26.848103448275857
May-2016,26.784137931034483
June-2016,27.011016949152545
July-2016,27.177796610169494
August-2016,27.51189655172414
September-2016,27.681724137931035
October-2016,27.737068965517242
November-2016,28.123684210526314
December-2016,28.656379310344832
January-2017,28.931864406779667
February-2017,29.261896551724135
March-2017,29.216896551724144
April-2017,29.109491525423728
May-2017,29.228103448275863
June-2017,29.419285714285717
July-2017,30.117586206896547
August-2017,30.253275862068957
September-2017,30.399830508474576
October-2017,30.502542372881358
November-2017,30.58762711864407
December-2017,30.43396551724138
January-2018,30.652068965517245
February-2018,30.532711864406775
March-2018,30.581896551724135
April-2018,30.64666666666667
May-2018,30.64338983050847
June-2018,30.767627118644064
July-2018,30.745862068965515
August-2018,30.719830508474573
September-2018,30.503898305084746
October-2018,30.43137931034483
November-2018,30.415087719298246
December-2018,33.275
January-2019,30.811355932203387
February-2019,33.615
March-2019,33.53
April-2019,32.405
May-2019,32.5425
June-2019,31.50534482758621
